iphone,avewage
44.5,44.61538462
86,22.72228321
51,32.28941685
165,6.314878893
52.5,33.84440659
184,8.590197069
55.5,45.46498278
142,11.25694094
126.5,14.70276008
54,47.10982659
229.5,8.056614045
206,10.5125523
187,12.88913162
290.5,4.719004719
271.5,10.64395955
32,44.92988134
36.5,73.53643967
369.5,3.355408389
82.5,12.28070175
46.5,23.66412214
39,45.51845343
41.5,50.95320624
23.5,65.29318542
44.5,46.81844717
53,18.64111498
165.5,13.03738318
348.5,3.740530303
93.5,21.99258082
266.5,5.675675676
129,10.82578046
162,10.53630755
96.5,25.94339623
101,20.3125
42.5,44.48796866
33,44.41585178
29.5,58.94854586
52.5,39.09866017
53,32.87197232
72.5,15.33433886
435,3.561887801
219.5,5.768421053
32.5,42.18669417
55,40.10268112
44.5,42.73696018
119,16.88888889
338,3.776099511
42.5,52.1070615
292.5,4.733727811
27.5,48.49660524
53.5,34.17650365
36,68.09605489
43.5,50.1283697
131.5,13.39529798
168.5,13.39977852
160,14.35356201
70,29.0152712
157,11.10565111
106,16.62983425
56,23.74350087
142,10.62531774
247.5,7.286166843
45,46.18384401
32.5,50.97508126
79,15.73724008
139,15.90909091
99.5,21.87182096
35,45.92445328
37.5,41.58094207
45.5,44.90481523
168.5,12.12968139
141,13.27384272
22,69.47535771
