"Filling","Ants"
"Vegemite",18.0
"Peanut Butter",43.0
"Ham & Pickles",44.0
"Vegemite",29.0
"Peanut Butter",59.0
"Ham & Pickles",34.0
"Vegemite",42.0
"Peanut Butter",22.0
"Ham & Pickles",36.0
"Vegemite",42.0
"Peanut Butter",25.0
"Ham & Pickles",49.0
"Vegemite",31.0
"Peanut Butter",36.0
"Ham & Pickles",54.0
"Vegemite",21.0
"Peanut Butter",47.0
"Ham & Pickles",65.0
"Vegemite",38.0
"Peanut Butter",19.0
"Ham & Pickles",59.0
"Vegemite",25.0
"Peanut Butter",21.0
"Ham & Pickles",53.0
