"Bill","Tip"
23.7,10.0
36.11,7.0
31.99,5.01
17.39,3.61
15.41,3.0
18.62,2.5
21.56,3.44
19.58,2.42
23.59,3.0
18.67,2.0
15.19,1.75
10.17,2.1
8.08,1.0
8.83,1.25
8.88,1.12
17.49,3.0
18.4,2.6
29.05,5.91
9.31,1.25
41.94,7.06
55.59,10.0
25.09,5.0
13.11,2.0
49.59,10.41
36.86,6.14
22.68,3.55
29.53,4.47
18.62,3.11
31.35,4.5
24.34,4.0
39.8,6.3
12.54,2.0
13.38,2.0
16.53,2.47
16.85,3.0
15.73,5.0
31.14,5.0
18.14,2.75
9.58,1.42
35.9,5.0
17.44,3.7
19.69,2.31
59.33,10.0
9.36,1.44
10.59,1.5
31.94,8.06
22.26,3.74
20.33,4.0
10.17,1.83
9.2,1.8
21.88,4.0
20.87,3.13
17.39,3.61
7.97,1.03
32.31,4.69
7.7,1.0
7.76,1.0
23.43,4.0
38.73,5.7
70.51,10.49
60.72,15.0
30.98,5.02
23.27,3.73
25.95,4.05
29.64,6.0
8.29,1.0
26.16,4.53
34.94,6.96
53.54,9.0
22.47,4.0
37.24,6.7
23.65,3.15
28.89,3.46
21.24,3.62
20.22,2.0
7.54,1.26
22.36,3.0
27.98,5.42
22.95,4.05
17.71,2.3
28.09,5.11
29.0,4.0
18.67,3.0
37.34,5.96
22.2,4.0
36.27,7.0
23.0,3.75
42.96,7.04
23.38,4.0
21.03,3.0
26.8,2.2
28.36,5.2
18.73,2.27
50.24,9.76
12.31,1.9
28.84,5.16
19.42,3.0
18.62,2.79
10.17,2.0
18.62,3.35
57.3,10.0
25.63,5.0
39.75,7.25
1.66,0.25
9.52,1.0
11.18,2.0
18.83,2.8
17.82,2.75
35.95,6.05
23.97,4.0
27.45,4.0
27.66,4.16
27.82,4.71
19.53,8.0
11.18,1.82
11.93,2.0
18.67,3.33
28.36,5.44
18.14,4.0
20.22,4.37
11.66,1.5
17.82,3.18
18.62,2.38
3.26,0.74
23.91,4.0
15.25,2.75
7.44,1.56
11.72,2.28
8.4,1.6
17.44,2.0
12.52,1.5
14.34,2.0
30.6,5.0
18.08,2.0
16.48,3.0
24.5,3.5
17.12,3.72
6.69,1.0
16.26,2.43
13.86,1.14
30.98,4.02
18.4,2.75
16.8,2.2
3.75,0.25
32.69,5.0
35.68,5.0
9.84,2.16
14.23,2.15
29.85,4.15
20.76,3.0
24.82,4.4
15.62,2.81
31.3,5.7
12.57,2.0
14.87,3.13
51.68,10.0
17.12,2.5
