year,month,day,hour,violation_city,actual_speed,posted_speed,age
2015,7,1,20,FARIBAULT,83,70,36
2015,7,1,20,FARIBAULT,86,70,35
2015,7,1,21,FARIBAULT,87,70,60
2015,7,4,20,FARIBAULT,73,55,17
2015,7,14,18,FARIBAULT,77,55,48
2015,7,17,14,NORTHFIELD,67,55,51
2015,7,18,12,NORTHFIELD,67,55,42
2015,7,18,12,NORTHFIELD,71,55,19
2015,7,20,11,FARIBAULT,83,70,51
2015,7,21,16,FARIBAULT,67,55,53
2015,7,21,17,NORTHFIELD,67,55,63
2015,7,25,1,FARIBAULT,71,40,27
2015,7,25,19,FARIBAULT,50,30,20
2015,7,29,11,FARIBAULT,93,70,24
2015,7,30,17,NORTHFIELD,67,55,54
2015,8,7,7,FARIBAULT,83,70,24
2015,8,7,9,NORTHFIELD,70,55,35
2015,8,9,20,FARIBAULT,83,70,23
2015,8,10,18,FARIBAULT,91,65,19
2015,8,11,21,FARIBAULT,41,30,17
2015,8,15,16,NORTHFIELD,72,55,18
2015,8,15,16,NORTHFIELD,70,55,18
2015,8,16,11,FARIBAULT,67,55,31
2015,8,25,8,FARIBAULT,69,55,35
2015,8,29,12,FARIBAULT,87,70,34
2015,9,2,21,FARIBAULT,84,70,42
2015,9,11,23,NORTHFIELD,47,30,46
2015,9,13,9,FARIBAULT,86,70,24
2015,9,27,6,FARIBAULT,87,70,30
2015,9,27,7,FARIBAULT,86,70,34
2015,10,10,14,FARIBAULT,83,70,20
2015,10,15,7,NORTHFIELD,67,55,25
2015,10,18,9,FARIBAULT,87,70,23
2015,10,21,8,FARIBAULT,83,70,25
2015,10,24,12,FARIBAULT,87,70,31
2015,10,25,18,FARIBAULT,92,70,56
2015,11,4,21,FARIBAULT,87,70,40
2015,11,5,9,FARIBAULT,67,45,40
2015,11,6,17,NORTHFIELD,67,55,31
2015,11,7,19,NORTHFIELD,67,55,21
2015,11,24,7,NORTHFIELD,75,55,37
2015,11,26,7,FARIBAULT,83,70,41
2015,11,26,23,FARIBAULT,95,70,22
2015,12,2,7,NORTHFIELD,74,55,57
2015,12,5,20,FARIBAULT,83,70,18
2015,12,12,9,FARIBAULT,83,70,40
2015,12,12,19,NORTHFIELD,66,55,25
2015,12,15,7,NORTHFIELD,70,55,59
2015,12,16,8,NORTHFIELD,70,55,17
2016,1,3,22,NORTHFIELD,67,55,45
2016,1,13,16,NORTHFIELD,71,55,41
2016,1,13,21,FARIBAULT,91,70,30
2016,1,14,8,NORTHFIELD,72,55,27
2016,1,18,23,FARIBAULT,86,70,18
2016,1,23,16,NORTHFIELD,66,55,33
2016,1,29,12,FARIBAULT,97,70,47
2016,1,31,11,FARIBAULT,87,70,18
2016,2,4,21,FARIBAULT,86,70,50
2016,2,8,15,NORTHFIELD,76,55,53
2016,2,10,6,NORTHFIELD,71,55,48
2016,2,11,21,FARIBAULT,83,70,19
2016,2,13,1,FARIBAULT,93,70,19
2016,2,18,10,FARIBAULT,67,55,68
2016,2,25,21,FARIBAULT,70,40,17
2016,2,26,6,NORTHFIELD,76,55,23
2016,3,2,16,NORTHFIELD,67,55,51
2016,3,14,19,FARIBAULT,88,70,41
2016,3,15,7,NORTHFIELD,71,55,41
2016,3,18,6,NORTHFIELD,71,55,31
2016,3,20,16,FARIBAULT,67,55,19
2016,3,26,9,NORTHFIELD,71,55,26
2016,3,26,10,FARIBAULT,92,70,27
2016,3,27,19,NORTHFIELD,66,55,27
2016,3,28,0,FARIBAULT,88,70,50
2016,3,28,0,FARIBAULT,86,70,21
2016,3,28,0,FARIBAULT,91,70,19
2016,3,28,1,FARIBAULT,87,70,20
2016,4,10,20,FARIBAULT,56,40,34
2016,4,14,17,NORTHFIELD,71,55,41
2016,4,21,8,NORTHFIELD,71,55,40
2016,5,3,7,NORTHFIELD,56,45,61
2016,5,12,22,NORTHFIELD,66,55,20
2016,5,12,22,NORTHFIELD,66,55,63
2016,5,12,22,NORTHFIELD,66,55,20
2016,5,13,19,NORTHFIELD,51,35,21
2016,5,22,16,NORTHFIELD,66,55,21
2016,5,24,0,FARIBAULT,91,70,19
2016,5,26,17,FARIBAULT,50,30,18
2016,5,28,0,FARIBAULT,87,70,38
2016,5,31,18,FARIBAULT,83,70,19
2016,6,1,6,NORTHFIELD,71,55,58
2016,6,1,14,NORTHFIELD,71,55,22
2016,6,5,8,FARIBAULT,86,70,40
2016,6,13,20,FARIBAULT,92,70,20
2016,6,14,7,NORTHFIELD,56,45,56
2016,6,14,10,NORTHFIELD,76,55,54
2016,6,18,2,NORTHFIELD,71,55,18
2016,6,18,23,NORTHFIELD,66,55,47
2016,6,22,7,FARIBAULT,67,55,38
2016,6,23,13,FARIBAULT,92,70,19
2016,6,24,0,FARIBAULT,83,70,57
2016,6,24,23,FARIBAULT,83,70,38
2016,6,25,20,FARIBAULT,82,70,21
2016,6,28,20,FARIBAULT,83,70,28
2016,7,3,0,FARIBAULT,87,70,56
2016,7,16,21,FARIBAULT,92,70,18
2016,7,16,21,FARIBAULT,86,70,38
2016,7,16,22,FARIBAULT,92,70,38
2016,7,18,6,NORTHFIELD,75,55,60
2016,8,3,16,NORTHFIELD,67,55,26
2016,8,4,15,NORTHFIELD,76,55,70
2016,8,10,0,FARIBAULT,89,70,29
2016,8,11,15,NORTHFIELD,74,55,36
2016,8,14,17,NORTHFIELD,66,55,32
2016,8,16,7,NORTHFIELD,67,55,22
2016,8,17,21,FARIBAULT,82,70,22
2016,8,22,8,NORTHFIELD,71,55,27
2016,8,29,11,FARIBAULT,91,70,30
2016,9,3,1,FARIBAULT,91,70,37
2016,9,3,20,FARIBAULT,83,70,26
2016,9,4,1,FARIBAULT,82,70,48
2016,9,5,20,FARIBAULT,88,70,19
2016,9,9,21,FARIBAULT,83,70,29
2016,9,10,8,FARIBAULT,92,70,40
2016,9,13,0,FARIBAULT,87,70,30
2016,9,16,16,NORTHFIELD,71,55,28
2016,9,16,16,NORTHFIELD,67,55,21
2016,9,19,20,FARIBAULT,83,70,35
2016,9,19,21,FARIBAULT,83,70,20
2016,9,20,8,NORTHFIELD,67,55,54
2016,9,22,19,FARIBAULT,82,70,43
2016,10,2,10,NORTHFIELD,67,55,24
2016,10,5,20,FARIBAULT,82,70,59
2016,10,8,16,NORTHFIELD,67,55,61
2016,10,10,7,FARIBAULT,55,30,26
2016,10,11,0,FARIBAULT,83,70,20
2016,10,13,7,NORTHFIELD,67,55,20
2016,10,18,15,NORTHFIELD,67,55,16
2016,10,28,16,FARIBAULT,41,30,29
2016,10,29,1,FARIBAULT,98,70,16
2016,10,29,7,FARIBAULT,67,55,41
2016,11,2,20,FARIBAULT,86,70,52
2016,11,5,23,FARIBAULT,85,70,20
2016,11,6,0,FARIBAULT,83,70,22
2016,11,7,0,FARIBAULT,87,70,26
2016,11,7,6,NORTHFIELD,69,55,42
2016,11,9,10,NORTHFIELD,76,55,42
2016,11,10,20,FARIBAULT,66,45,25
2016,11,10,23,FARIBAULT,83,70,32
2016,11,12,16,NORTHFIELD,66,55,51
2016,11,12,20,FARIBAULT,87,70,45
2016,11,15,20,FARIBAULT,87,70,26
2016,11,15,21,FARIBAULT,89,70,34
2016,11,16,16,NORTHFIELD,69,55,69
2016,11,16,16,NORTHFIELD,67,55,22
2016,11,16,21,FARIBAULT,83,70,22
2016,11,16,21,FARIBAULT,90,70,17
2016,11,19,7,FARIBAULT,83,70,46
2016,11,21,0,FARIBAULT,89,70,24
2016,11,25,20,NORTHFIELD,66,55,28
2016,11,27,16,NORTHFIELD,72,55,21
2016,12,3,13,NORTHFIELD,67,55,54
2016,12,4,15,FARIBAULT,83,70,31
2016,12,22,20,FARIBAULT,82,70,57
2017,1,8,20,FARIBAULT,88,70,30
2017,1,8,20,FARIBAULT,82,70,32
2017,1,12,5,FARIBAULT,89,70,30
2017,1,18,18,NORTHFIELD,67,55,18
2017,1,21,7,FARIBAULT,83,70,41
2017,1,22,21,FARIBAULT,85,70,23
2017,1,28,0,FARIBAULT,93,70,20
2017,2,5,10,NORTHFIELD,67,55,45
2017,2,10,21,FARIBAULT,90,70,19
2017,2,13,13,FARIBAULT,83,70,36
2017,2,15,16,NORTHFIELD,67,55,26
2017,2,16,20,FARIBAULT,83,70,52
2017,2,16,20,FARIBAULT,83,70,26
2017,2,21,20,FARIBAULT,91,70,52
2017,2,21,21,FARIBAULT,84,70,54
2017,2,21,21,FARIBAULT,83,70,30
2017,3,2,7,FARIBAULT,87,70,31
2017,3,3,13,NORTHFIELD,70,55,21
2017,3,4,0,FARIBAULT,88,70,19
2017,3,4,10,NORTHFIELD,70,55,39
2017,3,4,10,NORTHFIELD,67,55,22
2017,3,8,6,NORTHFIELD,71,55,30
2017,3,13,14,FARIBAULT,82,70,27
2017,3,16,10,NORTHFIELD,67,55,50
2017,3,19,3,FARIBAULT,87,70,20
2017,3,22,6,NORTHFIELD,71,55,63
2017,3,22,20,FARIBAULT,96,70,61
2017,3,31,21,FARIBAULT,82,70,22
2017,4,2,7,NORTHFIELD,56,45,56
2017,4,3,16,NORTHFIELD,67,55,40
2017,4,5,7,NORTHFIELD,71,55,24
2017,4,6,8,NORTHFIELD,67,55,41
2017,4,6,8,NORTHFIELD,75,55,30
2017,4,6,16,NORTHFIELD,67,55,53
2017,4,6,21,NORTHFIELD,66,55,18
2017,4,7,20,FARIBAULT,83,70,18
2017,4,10,11,FARIBAULT,62,50,27
2017,4,16,10,NORTHFIELD,67,55,71
2017,4,17,20,FARIBAULT,83,70,25
2017,4,23,0,FARIBAULT,87,70,26
2017,4,24,15,NORTHFIELD,71,55,37
2017,4,29,20,FARIBAULT,82,70,22
2017,4,30,19,FARIBAULT,87,70,46
2017,5,5,14,NORTHFIELD,79,55,47
2017,5,6,11,FARIBAULT,86,70,26
2017,5,10,7,FARIBAULT,87,70,21
2017,5,13,21,FARIBAULT,83,70,42
2017,5,19,16,NORTHFIELD,71,55,50
2017,5,22,6,NORTHFIELD,71,55,29
2017,5,25,18,NORTHFIELD,67,55,21
2017,5,26,23,FARIBAULT,82,70,38
2017,5,27,10,FARIBAULT,45,30,36
2017,5,27,20,FARIBAULT,83,70,19
2017,5,28,9,NORTHFIELD,67,55,53
2017,5,28,20,FARIBAULT,86,70,29
2017,5,30,6,NORTHFIELD,50,30,27
2017,5,30,21,FARIBAULT,83,70,33
2017,6,2,12,FARIBAULT,92,70,35
2017,6,2,20,FARIBAULT,45,30,52
2017,6,4,19,FARIBAULT,50,30,16
2017,6,7,9,FARIBAULT,91,70,18
2017,6,9,16,NORTHFIELD,66,55,30
2017,6,11,21,FARIBAULT,83,70,57
